Recency,Frequency,Monetary,Model K = 2,Model K = 3,Model K = 4,Model K = 5
704,1,109598,1,1,3,4
717,1,109598,1,2,2,4
785,1,114475,0,0,0,0
760,1,112995,0,2,2,2
670,1,112147,1,1,1,1
656,1,112147,1,1,1,1
779,1,114475,0,0,0,0
772,1,111744,0,0,0,0
666,1,112147,1,1,1,1
715,1,109598,1,2,2,4
729,1,120643,1,2,2,4
757,1,20646,0,2,2,2
656,1,224294,1,1,1,1
718,1,109598,1,2,2,4
668,1,112147,1,1,1,1
784,1,197299,0,0,0,0
773,1,252733,0,2,2,2
670,1,134237,1,1,1,1
670,1,112147,1,1,1,1
780,1,114475,0,0,0,0
759,1,112995,0,2,2,2
659,1,112147,1,1,1,1
664,1,112147,1,1,1,1
791,1,220000,0,0,0,0
666,1,33134,1,1,1,1
685,1,112147,1,1,3,3
679,1,123192,1,1,3,3
655,1,112147,1,1,1,1
648,1,122059,1,1,1,1
717,1,109598,1,2,2,4
660,1,112147,1,1,1,1
786,1,49990,0,0,0,0
651,1,112147,1,1,1,1
671,1,112147,1,1,1,1
688,1,112147,1,1,3,3
688,1,112147,1,1,3,3
688,1,112147,1,1,3,3
685,1,123192,1,1,3,3
775,1,122172,0,0,0,0
726,1,120643,1,2,2,4
767,1,114097,0,2,2,2
784,1,114475,0,0,0,0
777,1,123846,0,0,0,0
697,1,109598,1,1,3,4
694,1,109598,1,1,3,3
760,1,112995,0,2,2,2
650,1,112147,1,1,1,1
761,1,112995,0,2,2,2
663,1,112147,1,1,1,1
762,1,213900,0,2,2,2
689,1,123192,1,1,3,3
725,1,114696,1,2,2,4
760,1,112995,0,2,2,2
786,1,114475,0,0,0,0
784,1,253747,0,0,0,0
662,1,112147,1,1,1,1
761,1,112995,0,2,2,2
680,1,112147,1,1,3,3
757,1,183954,0,2,2,2
669,1,112147,1,1,1,1
760,1,112995,0,2,2,2
701,1,109598,1,1,3,4
772,1,19497,0,0,0,0
765,1,127167,0,2,2,2
648,1,110873,1,1,1,1
672,1,112147,1,1,1,1
786,1,114475,0,0,0,0
773,1,113104,0,0,0,0
687,1,112147,1,1,3,3
800,1,225000,0,0,0,0
666,1,112147,1,1,1,1
649,1,110873,1,1,1,1
678,1,112147,1,1,3,3
760,1,112995,0,2,2,2
702,1,109598,1,1,3,4
704,1,109598,1,1,3,4
761,1,187860,0,2,2,2
681,1,112147,1,1,3,3
726,1,44179,1,2,2,4
704,1,109598,1,1,3,4
668,1,112147,1,1,1,1
716,1,219197,1,2,2,4
669,1,112147,1,1,1,1
679,1,112147,1,1,3,3
663,1,112147,1,1,1,1
673,1,94147,1,1,1,1
660,1,112147,1,1,1,1
728,1,109598,1,2,2,4
785,1,114475,0,0,0,0
679,1,112147,1,1,3,3
657,1,112147,1,1,1,1
673,1,112147,1,1,1,1
759,1,192510,0,2,2,2
757,1,112995,0,2,2,2
763,1,112617,0,2,2,2
791,1,115200,0,0,0,0
758,1,10741,0,2,2,2
779,1,114475,0,0,0,0
760,1,112995,0,2,2,2
762,1,112995,0,2,2,2
779,1,115835,0,0,0,0
654,1,112147,1,1,1,1
761,1,187860,0,2,2,2
758,1,112995,0,2,2,2
671,1,112147,1,1,1,1
688,1,112147,1,1,3,3
663,1,112147,1,1,1,1
680,1,224294,1,1,3,3
799,1,120000,0,0,0,0
678,1,167371,1,1,3,3
721,1,112147,1,2,2,4
671,1,112147,1,1,1,1
771,1,111744,0,2,2,2
757,1,112995,0,2,2,2
795,1,120000,0,0,0,0
783,1,29728,0,0,0,0
648,1,110873,1,1,1,1
699,1,109598,1,1,3,4
694,1,109598,1,1,3,3
757,1,183954,0,2,2,2
714,1,109598,1,2,2,4
663,1,112147,1,1,1,1
695,1,109598,1,1,3,3
714,1,41347,1,2,2,4
663,1,112147,1,1,1,1
672,1,112147,1,1,1,1
788,1,114475,0,0,0,0
797,1,121520,0,0,0,0
798,1,170680,0,0,0,0
648,1,110873,1,1,1,1
689,1,123192,1,1,3,3
786,2,344149,0,0,0,0
680,1,112147,1,1,3,3
718,1,109598,1,2,2,4
752,1,186093,0,2,2,2
757,1,20646,0,2,2,2
761,1,112995,0,2,2,2
791,1,375200,0,0,0,0
727,1,109598,1,2,2,4
689,1,112147,1,1,3,3
680,1,112147,1,1,3,3
667,1,112147,1,1,1,1
730,1,109598,1,2,2,4
673,1,112147,1,1,1,1
663,1,112147,1,1,1,1
676,1,112147,1,1,3,3
680,1,112147,1,1,3,3
672,1,134237,1,1,1,1
662,1,112147,1,1,1,1
757,1,183954,0,2,2,2
671,1,112147,1,1,1,1
680,1,112147,1,1,3,3
770,1,113264,0,2,2,2
680,1,112147,1,1,3,3
704,1,109598,1,1,3,4
757,1,183954,0,2,2,2
662,1,33134,1,1,1,1
780,1,124384,0,0,0,0
791,1,200000,0,0,0,0
759,1,215760,0,2,2,2
678,1,112147,1,1,3,3
688,1,112147,1,1,3,3
787,1,114475,0,0,0,0
661,1,112147,1,1,1,1
770,1,112617,0,2,2,2
785,1,114475,0,0,0,0
676,1,112147,1,1,3,3
656,1,123192,1,1,1,1
784,1,114475,0,0,0,0
730,1,142733,1,2,2,4
694,1,109598,1,1,3,3
785,1,114475,0,0,0,0
664,1,112147,1,1,1,1
663,1,112147,1,1,1,1
690,1,112147,1,1,3,3
703,1,109598,1,1,3,4
760,1,192510,0,2,2,2
732,1,120643,0,2,2,4
758,1,112995,0,2,2,2
671,1,112147,1,1,1,1
790,1,114475,0,0,0,0
671,1,123192,1,1,1,1
669,1,112147,1,1,1,1
649,1,110873,1,1,1,1
757,1,183954,0,2,2,2
